%time,field.name0,field.name1,field.name2,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.pose2.position.x,field.pose2.position.y,field.pose2.position.z,field.pose2.orientation.x,field.pose2.orientation.y,field.pose2.orientation.z,field.pose2.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z,field.twist2.linear.x,field.twist2.linear.y,field.twist2.linear.z,field.twist2.angular.x,field.twist2.angular.y,field.twist2.angular.z
207590000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416990441246,2.9996738680973762,0.19227998922233056,1.947138737412514e-06,1.557332311381048e-06,-3.1043283841770353e-05,0.999999999515049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9074961110008944e-06,7.490194925672125e-07,9.188134509297754e-07,-9.427649861822862e-07,-7.2843737439275e-07,2.5065455577978207e-07
207600000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416972282917,2.9996738684483426,0.19227998920560907,1.9471256468258656e-06,1.5573023712194545e-06,-3.1043058993575345e-05,0.9999999995150561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9075522250015107e-06,7.490173557357992e-07,9.188136801146234e-07,-9.42766862620368e-07,-7.28436225418466e-07,2.5065704854369804e-07
207620000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416954124026,2.999673868799311,0.1922799891888886,1.947112557049205e-06,1.5572724327965056e-06,-3.1042834151432666e-05,0.999999999515063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9076083468201623e-06,7.490152244061599e-07,9.188139115708811e-07,-9.427687224227045e-07,-7.284350649951489e-07,2.50659555830901e-07
207630000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416935964573,2.9996738691502824,0.1922799891721692,1.9470994679703875e-06,1.5572424960915303e-06,-3.1042609315450226e-05,0.9999999995150701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.907664471292913e-06,7.490130848528538e-07,9.188141416051955e-07,-9.427706043661559e-07,-7.284339087500201e-07,2.5066204141402265e-07
207640000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416917804558,2.9996738695012555,0.19227998915545078,1.9470863796944842e-06,1.5572125610926053e-06,-3.104238448554176e-05,0.9999999995150772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9077205857330807e-06,7.490109450345839e-07,9.188143703038766e-07,-9.427724651324034e-07,-7.284327549007797e-07,2.506645441238212e-07
207650000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416899643981,2.9996738698522307,0.19227998913873345,1.9470732921486916e-06,1.5571826278079653e-06,-3.104215966173908e-05,0.9999999995150843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.907776719124847e-06,7.490088021949518e-07,9.1881460411965e-07,-9.427743403197561e-07,-7.284315995137235e-07,2.506670403301363e-07
207660000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416881482841,2.999673870203208,0.19227998912201713,1.947060205376781e-06,1.557152696251181e-06,-3.104193484414656e-05,0.9999999995150912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9078328439190943e-06,7.490066623876094e-07,9.188148299473474e-07,-9.427762065238971e-07,-7.284304414544255e-07,2.5066951554167254e-07
207670000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6494168633211395,2.999673870554188,0.1922799891053018,1.9470471193171716e-06,1.557122766357591e-06,-3.104171003262118e-05,0.9999999995150983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9078889747925467e-06,7.490045240949823e-07,9.188150631981636e-07,-9.427780850094047e-07,-7.284292963521757e-07,2.506720192405425e-07
207680000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416845158877,2.99967387090517,0.19227998908858757,1.947034034030117e-06,1.557092838238876e-06,-3.104148522715161e-05,0.9999999995151054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9079451010241718e-06,7.490023857633117e-07,9.1881529156785e-07,-9.427799511616834e-07,-7.284281289958518e-07,2.506745250664362e-07
207690000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416826996052,2.9996738712561535,0.19227998907187438,1.947020949532362e-06,1.5570629118109967e-06,-3.1041260427810606e-05,0.9999999995151125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908001244665294e-06,7.490002501987674e-07,9.188155246240463e-07,-9.427818138280328e-07,-7.28426978478995e-07,2.5067701621572594e-07
207700000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6494168088326635,2.99967387160714,0.1922799890551622,1.94700786573752e-06,1.5570329870916113e-06,-3.1041035634602e-05,0.9999999995151194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9080573958562306e-06,7.489981135983576e-07,9.188157542463498e-07,-9.427836935447638e-07,-7.284258245309874e-07,2.506795064802916e-07
207710000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416790668714,2.999673871958128,0.192279989038451,1.9469947827114053e-06,1.5570030641004689e-06,-3.104081084750868e-05,0.9999999995151266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908113529023166e-06,7.489959729420687e-07,9.188159813774316e-07,-9.427855600035661e-07,-7.284246666362724e-07,2.5068200002357305e-07
207720000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6494167725042015,2.9996738723091183,0.19227998902174087,1.946981700445747e-06,1.5569731428232308e-06,-3.104058606658363e-05,0.9999999995151336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908169672693207e-06,7.489938419408996e-07,9.188162127172609e-07,-9.427874279519576e-07,-7.284235116561718e-07,2.5068448285277755e-07
207730000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416754339128,2.999673872660111,0.19227998900503177,1.9469686189568686e-06,1.5569432233055539e-06,-3.104036129180314e-05,0.9999999995151406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9082258142027586e-06,7.489917100026016e-07,9.188164438853219e-07,-9.427892923609797e-07,-7.284223476715307e-07,2.506869703039878e-07
207740000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416736173491,2.999673873011106,0.19227998898832369,1.9469555381968933e-06,1.55691330544931e-06,-3.104013652301373e-05,0.9999999995151478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908281958799413e-06,7.489895725090159e-07,9.188166745133083e-07,-9.427911662363693e-07,-7.284212033017704e-07,2.5068948831736225e-07
207750000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416718007293,2.9996738733621036,0.1922799889716167,1.9469424581822493e-06,1.5568833893192116e-06,-3.103991176041769e-05,0.9999999995151548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9083380991046812e-06,7.48987433415479e-07,9.188169042761777e-07,-9.427930366322259e-07,-7.284200460814337e-07,2.506919657362572e-07
207760000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416699840532,2.9996738737131023,0.19227998895491077,1.9469293789302717e-06,1.5568534748947813e-06,-3.103968700397018e-05,0.9999999995151618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9083942719841586e-06,7.489852935035691e-07,9.188171369271264e-07,-9.427949033954982e-07,-7.284188930343083e-07,2.506944520105868e-07
207770000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416681673208,2.999673874064104,0.1922799889382058,1.9469163004504023e-06,1.5568235622073615e-06,-3.1039462253565854e-05,0.9999999995151688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9084504299918757e-06,7.489831596245249e-07,9.188173633864048e-07,-9.427967681309205e-07,-7.284177337005574e-07,2.5069695921754895e-07
207780000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416663505322,2.999673874415108,0.19227998892150186,1.9469032226855266e-06,1.5567936511911584e-06,-3.103923750929314e-05,0.999999999515176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9085065845745697e-06,7.489810255113829e-07,9.188175933105208e-07,-9.427986441766134e-07,-7.284165876373288e-07,2.506994486142088e-07
207790000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416645336874,2.999673874766114,0.19227998890479897,1.946890145707031e-06,1.5567637419475516e-06,-3.103901277114944e-05,0.999999999515183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9085627374196354e-06,7.489788889275387e-07,9.188178255796424e-07,-9.428005055961371e-07,-7.284154213718659e-07,2.50701938398678e-07
207800000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416627167864,2.999673875117122,0.1922799888880971,1.946877069442884e-06,1.5567338343829406e-06,-3.1038788039065314e-05,0.99999999951519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9086189015321176e-06,7.489767478247092e-07,9.188180539175206e-07,-9.428023813550763e-07,-7.284142738087538e-07,2.507044419531485e-07
207810000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416608998291,2.9996738754681322,0.19227998887139627,1.9468639939348445e-06,1.5567039285302826e-06,-3.1038563313101416e-05,0.999999999515197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908675074860361e-06,7.489746116506693e-07,9.188182870639869e-07,-9.428042485926674e-07,-7.284131197729854e-07,2.5070693323618946e-07
207820000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416590828157,2.999673875819145,0.1922799888546965,1.9468509192163173e-06,1.5566740244066117e-06,-3.103833859335541e-05,0.999999999515204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908731242510023e-06,7.489724709757177e-07,9.188185139808357e-07,-9.428061089489628e-07,-7.284119623398465e-07,2.5070940487307657e-07
207830000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416572657458,2.999673876170159,0.1922799888379978,1.9468378452619887e-06,1.5566441219988296e-06,-3.103811387978307e-05,0.9999999995152112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9087874225860136e-06,7.489703327733724e-07,9.188187466807537e-07,-9.428079742482873e-07,-7.284108076198112e-07,2.507118852266257e-07
207840000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.649416554486198,2.999673876521176,0.19227998882130007,1.946824772048365e-06,1.5566142212993119e-06,-3.103788917225476e-05,0.9999999995152182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.908843601750599e-06,7.489681986088185e-07,9.188189731646848e-07,-9.428098440690426e-07,-7.28409654458219e-07,2.5071439137611274e-07
